"Nom","Nationalite","Club","Position","Evaluation","Taille_en_cm","Poids_en_kg","Pied_Fort","Age","Pied_Faible","Dribbles","Defense","Attaque","Interception","Vision_du_Jeu","Centre","Passe","Rapidite","Endurance","Force","Equilibre","Agilite","Tete","Frappe","Competence_Gardien"
"CRISTIANO RONALDO","PORTUGAL","REAL MADRID","AILIER",94,185,80,"DROIT",32,"4",92,25,90,29,85,84,80,91,92,80,63,90,85,91,11
"LIONEL MESSI","ARGENTINA","FC BARCELONA","AILIER",93,170,72,"GAUCHE",29,"4",96,22,87,22,90,77,87,89,74,59,95,90,71,86,10
"NEYMAR","BRAZIL","FC BARCELONA","AILIER",92,174,68,"DROIT",25,"5",95,26,86,36,80,75,78,91,79,49,82,96,62,77,11
"LUIS SUAREZ","URUGUAY","FC BARCELONA","ATTAQUANT",92,182,85,"DROIT",30,"4",88,37,90,41,84,77,73,82,89,76,60,86,77,86,30
"MANUEL NEUER","GERMANY","FC BAYERN","GARDIEN",92,193,92,"DROIT",31,"4",39,10,24,30,70,15,57,59,44,83,35,52,25,20,90
"DE GEA","SPAIN","MANCHESTER UTD","GARDIEN",90,193,82,"DROIT",26,"3",22,15,21,30,68,17,31,56,25,64,43,57,21,21,87
"ROBERT LEWANDOWSKI","POLAND","FC BAYERN","ATTAQUANT",90,185,79,"DROIT",28,"4",86,28,87,39,78,62,74,80,79,84,79,78,85,84,10
"GARETH BALE","WALES","REAL MADRID","AILIER",90,183,74,"GAUCHE",27,"3",88,52,83,59,79,87,83,94,78,80,65,77,86,90,10
"ZLATAN IBRAHIMOVIC","SWEDEN","MANCHESTER UTD","ATTAQUANT",90,195,95,"DROIT",35,"4",88,27,89,20,83,76,80,71,75,93,41,86,80,90,11
"THIBAUT COURTOIS","BELGIUM","CHELSEA","GARDIEN",89,199,91,"GAUCHE",24,"3",18,15,18,15,44,14,31,49,38,70,45,61,13,26,83
"JEROME BOATENG","GERMANY","FC BAYERN","DEFENSEUR CENTRE",89,192,90,"DROIT",28,"4",69,91,42,84,76,69,77,77,75,91,54,58,86,68,9
"EDEN HAZARD","BELGIUM","CHELSEA","AILIER",89,173,74,"DROIT",26,"4",92,24,84,41,86,80,82,90,77,65,90,92,57,80,9
"LUKA MODRIC","CROATIA","REAL MADRID","MILIEUX CENTRAL",89,174,65,"DROIT",31,"4",89,73,76,76,90,78,87,74,83,58,94,93,55,77,10
"MESUT OZIL","GERMANY","ARSENAL","MILIEUX OFFENSIF",89,180,76,"GAUCHE",28,"2",88,19,75,24,93,82,86,72,68,56,70,84,54,73,10
"GONZALO HIGUAIN","ARGENTINA","JUVENTUS","ATTAQUANT",89,184,92,"DROIT",29,"4",84,17,84,20,70,68,66,80,73,85,69,75,80,83,7
"THIAGO SILVA","BRAZIL","PSG","DEFENSEUR CENTRE",89,183,79,"DROIT",32,"3",74,90,56,91,74,60,80,74,74,81,68,75,82,74,9
"SERGIO RAMOS","SPAIN","REAL MADRID","DEFENSEUR CENTRE",89,183,75,"DROIT",31,"3",72,88,60,88,63,66,73,77,84,81,60,80,90,67,9
"SERGIO AGUERO","ARGENTINA","MANCHESTER CITY","ATTAQUANT",89,173,70,"DROIT",28,"4",89,15,87,24,83,70,71,89,74,73,90,86,68,85,11
"PAUL POGBA","FRANCE","MANCHESTER UTD","MILIEUX CENTRAL",88,191,84,"DROIT",24,"4",89,73,77,70,86,78,86,77,91,91,61,79,73,89,4
"ANTOINE GRIEZMANN","FRANCE","ATLETICO MADRID","ATTAQUANT",88,176,67,"GAUCHE",26,"3",86,18,83,35,76,82,77,86,75,61,80,90,80,81,12
"KEVIN DE BRUYNE","BELGIUM","MANCHESTER CITY","MILIEUX CENTRAL",88,181,68,"DROIT",25,"4",85,36,81,52,88,90,85,77,85,73,75,78,53,85,11
"MARCO REUS","GERMANY","BOR. DORTMUND","AILIER",88,182,76,"DROIT",27,"4",85,37,85,50,86,83,82,90,73,67,82,87,51,86,12
"ALEXIS SANCHEZ","CHILE","ARSENAL","ATTAQUANT",88,169,62,"DROIT",28,"3",87,34,82,42,82,80,76,86,85,72,87,90,70,82,12
"TONI KROOS","GERMANY","REAL MADRID","MILIEUX CENTRAL",88,182,78,"DROIT",27,"5",81,67,74,77,88,85,91,46,78,74,62,70,54,87,10
"DIEGO GODIN","URUGUAY","ATLETICO MADRID","DEFENSEUR CENTRE",88,185,73,"DROIT",31,"3",64,87,46,88,52,55,74,64,69,80,58,63,92,55,9
"MATS HUMMELS","GERMANY","FC BAYERN","DEFENSEUR CENTRE",88,191,92,"DROIT",28,"3",72,88,59,89,79,64,80,63,66,85,58,64,90,61,8
"HUGO LLORIS","FRANCE","SPURS","GARDIEN",88,188,82,"GAUCHE",30,"1",22,13,20,27,30,13,29,64,41,43,54,55,10,18,82
"GIORGIO CHIELLINI","ITALY","JUVENTUS","DEFENSEUR CENTRE",88,187,84,"GAUCHE",32,"2",55,91,37,88,50,58,57,74,69,91,65,59,80,63,3
